ID	Group	Date	Time	BT
S59	Torpid	06.01.2020	18:49:01	37,461
S59	Torpid	06.01.2020	19:09:01	36,713
S59	Torpid	06.01.2020	19:29:01	36,339
S59	Torpid	06.01.2020	19:49:01	36,65
S59	Torpid	06.01.2020	20:09:01	36,65
S59	Torpid	06.01.2020	20:29:01	37,212
S59	Torpid	06.01.2020	20:49:01	38,21
S59	Torpid	06.01.2020	21:09:01	37,835
S59	Torpid	06.01.2020	21:29:01	38,584
S59	Torpid	06.01.2020	21:49:01	37,898
S59	Torpid	06.01.2020	22:09:01	38,022
S59	Torpid	06.01.2020	22:29:01	37,773
S59	Torpid	06.01.2020	22:49:01	37,898
S59	Torpid	06.01.2020	23:09:01	37,773
S59	Torpid	06.01.2020	23:29:01	38,147
S59	Torpid	06.01.2020	23:49:01	37,648
S59	Torpid	07.01.2020	00:09:01	37,835
S59	Torpid	07.01.2020	00:29:01	37,461
S59	Torpid	07.01.2020	00:49:01	37,087
S59	Torpid	07.01.2020	01:09:01	37,025
S59	Torpid	07.01.2020	01:29:01	37,212
S59	Torpid	07.01.2020	01:49:01	37,898
S59	Torpid	07.01.2020	02:09:01	37,461
S59	Torpid	07.01.2020	02:29:01	37,149
S59	Torpid	07.01.2020	02:49:01	36,276
S59	Torpid	07.01.2020	03:09:01	35,777
S59	Torpid	07.01.2020	03:29:01	36,339
S59	Torpid	07.01.2020	03:49:01	37,149
S59	Torpid	07.01.2020	04:09:01	37,898
S59	Torpid	07.01.2020	04:29:01	37,212
S59	Torpid	07.01.2020	04:49:01	37,399
S59	Torpid	07.01.2020	05:09:01	37,087
S59	Torpid	07.01.2020	05:29:01	37,274
S59	Torpid	07.01.2020	05:49:01	37,025
S59	Torpid	07.01.2020	06:09:01	37,149
S59	Torpid	07.01.2020	06:29:01	37,212
S59	Torpid	07.01.2020	06:49:01	37,149
S59	Torpid	07.01.2020	07:09:01	36,775
S59	Torpid	07.01.2020	07:29:01	37,212
S59	Torpid	07.01.2020	07:49:01	37,025
S59	Torpid	07.01.2020	08:09:01	36,401
